pclass,sex,age,sibsp,parch,embarked,survived
third,male,26,zero,zero,S,NSUR
third,male,22,zero,zero,S,SUR
third,male,33,zero,zero,S,SUR
third,male,31,zero,zero,S,SUR
third,male,29,zero,zero,S,SUR
third,male,4,one,one,S,NSUR
third,female,1,one,one,S,NSUR
third,male,49,zero,zero,S,SUR
third,male,33,zero,zero,S,SUR
third,male,19,zero,zero,S,SUR
third,female,27,zero,two,S,NSUR
third,male,23,zero,zero,S,SUR
third,male,32,zero,zero,S,NSUR
third,male,27,zero,zero,S,SUR
third,female,20,one,zero,S,SUR
third,female,21,one,zero,S,SUR
third,male,32,zero,zero,S,NSUR
third,male,17,zero,zero,S,SUR
third,male,21,zero,zero,S,SUR
third,male,30,zero,zero,S,SUR
third,male,21,zero,zero,S,NSUR
third,male,33,zero,zero,S,SUR
third,male,22,zero,zero,S,SUR
third,female,4,zero,one,C,NSUR
third,male,39,zero,one,C,NSUR
third,male,18.5,zero,zero,C,SUR
third,male,34.5,zero,zero,Q,SUR
third,male,44,zero,zero,S,SUR
third,female,22,two,zero,S,SUR
third,male,26,two,zero,S,SUR
third,female,4,zero,two,S,NSUR
third,male,29,three,one,S,NSUR
third,female,26,one,one,S,NSUR
third,female,1,one,one,S,SUR
third,male,18,one,one,S,SUR
third,female,36,zero,two,S,SUR
third,male,25,zero,zero,C,NSUR
third,female,37,zero,zero,S,SUR
third,female,22,zero,zero,S,NSUR
third,male,26,zero,zero,S,NSUR
third,male,29,zero,zero,S,SUR
third,male,29,zero,zero,S,SUR
third,male,22,zero,zero,S,SUR
third,male,22,zero,zero,C,NSUR
third,male,32,zero,zero,S,SUR
third,male,34.5,zero,zero,C,SUR
third,male,36,zero,zero,S,SUR
third,male,39,zero,zero,S,SUR
third,male,24,zero,zero,S,SUR
third,female,25,zero,zero,S,SUR
third,female,45,zero,zero,S,SUR
third,male,36,one,zero,S,SUR
third,female,30,one,zero,S,SUR
third,male,20,one,zero,S,NSUR
third,male,28,zero,zero,S,SUR
third,male,30,one,zero,S,SUR
third,female,26,one,zero,S,SUR
third,male,20.5,zero,zero,S,SUR
third,male,27,zero,zero,S,NSUR
third,male,51,zero,zero,S,SUR
third,female,23,zero,zero,S,NSUR
third,male,32,zero,zero,S,NSUR
third,male,24,zero,zero,S,NSUR
third,male,22,zero,zero,S,SUR
third,male,29,zero,zero,S,SUR
third,female,30.5,zero,zero,Q,SUR
third,male,35,zero,zero,C,SUR
third,male,33,zero,zero,S,SUR
third,female,15,zero,zero,Q,NSUR
third,female,35,zero,zero,Q,SUR
third,male,24,one,zero,S,SUR
third,female,19,one,zero,S,SUR
third,male,55.5,zero,zero,S,SUR
third,male,21,zero,zero,S,NSUR
third,male,24,zero,zero,S,SUR
third,male,21,zero,zero,S,SUR
third,male,28,zero,zero,S,SUR
third,male,25,zero,zero,S,SUR
third,male,6,zero,one,S,NSUR
third,female,27,zero,one,S,NSUR
third,male,34,zero,zero,S,SUR
third,female,24,zero,zero,Q,NSUR
third,male,18,zero,zero,S,SUR
third,male,22,zero,zero,S,SUR
third,female,15,zero,zero,C,NSUR
third,female,1,zero,two,C,NSUR
third,male,20,one,one,C,NSUR
third,female,19,one,one,C,NSUR
third,male,33,zero,zero,S,SUR
third,male,12,one,zero,C,NSUR
third,female,14,one,zero,C,NSUR
third,female,29,zero,zero,S,SUR
third,male,28,zero,zero,S,SUR
third,female,18,zero,zero,S,NSUR
third,female,26,zero,zero,S,NSUR
third,male,21,zero,zero,S,SUR
third,male,41,zero,zero,S,SUR
third,male,39,zero,zero,S,NSUR
third,male,21,zero,zero,S,SUR
third,male,28.5,zero,zero,C,SUR
third,female,22,zero,zero,S,NSUR
third,male,61,zero,zero,S,SUR
third,male,23,zero,zero,S,SUR
third,female,22,zero,zero,S,NSUR
third,male,9,zero,one,S,NSUR
third,male,28,zero,zero,S,SUR
third,male,42,zero,one,S,SUR
third,female,31,zero,zero,S,SUR
third,male,28,zero,zero,S,SUR
third,male,32,zero,zero,S,NSUR
third,male,20,zero,zero,S,SUR
third,female,23,zero,zero,S,SUR
third,female,20,zero,zero,S,SUR
third,male,20,zero,zero,S,SUR
third,male,16,zero,zero,S,SUR
third,female,31,zero,zero,S,NSUR
third,male,2,three,one,S,SUR
third,male,6,three,one,S,SUR
third,female,3,three,one,S,SUR
third,female,8,three,one,S,SUR
third,female,29,zero,four,S,SUR
third,male,1,four,one,S,SUR
third,male,7,four,one,S,SUR
third,male,2,four,one,S,SUR
third,male,16,four,one,S,SUR
third,male,14,four,one,S,SUR
third,male,21,zero,zero,S,SUR
third,male,19,zero,zero,S,SUR
third,male,32,zero,zero,S,SUR
third,male,0.75,one,one,S,SUR
third,female,3,one,one,S,SUR
third,female,26,zero,two,S,SUR
third,male,21,zero,zero,S,SUR
third,male,25,zero,zero,S,SUR
third,male,22,zero,zero,S,SUR
third,male,25,one,zero,S,NSUR
third,male,24,zero,zero,S,SUR
third,female,28,zero,zero,S,SUR
third,male,19,zero,zero,S,SUR
third,male,25,one,zero,S,SUR
third,female,18,zero,zero,S,SUR
third,male,32,zero,zero,S,NSUR
third,male,17,zero,zero,S,SUR
third,male,24,zero,zero,S,SUR
third,male,38,zero,zero,S,SUR
third,male,21,zero,zero,S,SUR
third,male,10,four,one,Q,SUR
third,male,4,four,one,Q,SUR
third,male,7,four,one,Q,SUR
third,male,2,four,one,Q,SUR
third,male,8,four,one,Q,SUR
third,female,22,zero,zero,S,SUR
third,male,35,zero,zero,S,SUR
third,male,50,one,zero,S,SUR
third,female,47,one,zero,S,SUR
third,female,2,one,one,S,SUR
third,male,18,one,one,S,SUR
third,female,41,zero,two,S,SUR
third,male,50,zero,zero,S,SUR
third,male,16,zero,zero,S,SUR
third,male,25,zero,zero,C,SUR
third,male,38.5,zero,zero,S,SUR
third,male,24,zero,zero,S,SUR
third,female,21,zero,zero,S,NSUR
third,male,39,zero,zero,S,SUR
third,female,1,one,one,S,NSUR
third,female,24,zero,two,S,NSUR
third,female,4,one,one,S,NSUR
third,male,25,zero,zero,S,NSUR
third,male,20,zero,zero,S,SUR
third,male,24.5,zero,zero,S,SUR
third,male,29,zero,zero,S,NSUR
third,male,22,zero,zero,C,SUR
third,male,40,zero,zero,S,SUR
third,male,21,zero,zero,S,SUR
third,female,18,zero,zero,S,NSUR
third,male,4,three,two,S,SUR
third,male,10,three,two,S,SUR
third,female,9,three,two,S,SUR
third,female,2,three,two,S,SUR
third,male,40,one,four,S,SUR
third,female,45,one,four,S,SUR
third,male,19,zero,zero,S,SUR
third,male,30,zero,zero,S,SUR
third,male,32,zero,zero,S,SUR
third,male,33,zero,zero,C,SUR
third,female,23,zero,zero,S,NSUR
third,male,21,zero,zero,S,SUR
third,male,60.5,zero,zero,S,SUR
third,male,19,zero,zero,S,SUR
third,female,22,zero,zero,S,SUR
third,male,31,zero,zero,S,NSUR
third,male,27,zero,zero,S,SUR
third,female,2,zero,one,S,SUR
third,female,29,one,one,S,SUR
third,male,16,zero,zero,S,NSUR
third,male,44,zero,zero,S,NSUR
third,male,25,zero,zero,S,SUR
third,male,74,zero,zero,S,SUR
third,male,14,zero,zero,S,NSUR
third,male,24,zero,zero,S,SUR
third,male,25,zero,zero,S,NSUR
third,male,34,zero,zero,S,SUR
third,male,0.4167,zero,one,C,NSUR
third,female,16,one,one,C,NSUR
third,male,32,zero,zero,S,SUR
third,male,30.5,zero,zero,S,SUR
third,male,44,zero,zero,S,SUR
third,male,25,zero,zero,S,NSUR
third,male,7,one,one,C,NSUR
third,female,9,one,one,C,NSUR
third,female,29,zero,two,C,NSUR
third,male,36,zero,zero,S,SUR
third,female,18,zero,zero,S,NSUR
third,female,63,zero,zero,S,NSUR
third,male,11.5,one,one,S,SUR
third,male,40.5,zero,two,S,SUR
third,female,10,zero,two,S,SUR
third,male,36,one,one,S,SUR
third,female,30,one,one,S,SUR
third,male,33,zero,zero,S,SUR
third,male,28,zero,zero,S,SUR
third,male,28,zero,zero,S,SUR
third,male,47,zero,zero,S,SUR
third,female,18,two,zero,S,SUR
third,male,31,three,zero,S,SUR
third,male,16,two,zero,S,SUR
third,female,31,one,zero,S,SUR
third,male,22,zero,zero,C,NSUR
third,male,20,zero,zero,S,SUR
third,female,14,zero,zero,S,SUR
third,male,22,zero,zero,S,SUR
third,male,22,zero,zero,S,SUR
third,male,32.5,zero,zero,S,SUR
third,female,38,zero,zero,C,NSUR
third,male,51,zero,zero,S,SUR
third,male,18,one,zero,S,SUR
third,male,21,one,zero,S,SUR
third,female,47,one,zero,S,NSUR
third,male,28.5,zero,zero,S,SUR
third,male,21,zero,zero,S,SUR
third,male,27,zero,zero,S,SUR
third,male,36,zero,zero,S,SUR
third,male,27,one,zero,C,SUR
third,female,15,one,zero,C,NSUR
third,male,45.5,zero,zero,C,SUR
third,female,14.5,one,zero,C,SUR
third,male,26.5,zero,zero,C,SUR
third,male,27,zero,zero,C,SUR
third,male,29,zero,zero,S,SUR
